areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2022-05-06,3574
E12000001,North East,region,2022-05-05,3647
E12000001,North East,region,2022-05-04,3692
E12000001,North East,region,2022-05-03,3687
E12000001,North East,region,2022-05-02,3685
E12000001,North East,region,2022-05-01,3866
E12000001,North East,region,2022-04-30,4230
E12000001,North East,region,2022-04-29,4445
E12000001,North East,region,2022-04-28,4716
E12000001,North East,region,2022-04-27,5065
E12000001,North East,region,2022-04-26,5439
E12000001,North East,region,2022-04-25,5915
E12000001,North East,region,2022-04-24,6239
E12000001,North East,region,2022-04-23,6422
E12000001,North East,region,2022-04-22,6752
E12000001,North East,region,2022-04-21,6940
E12000001,North East,region,2022-04-20,7184
E12000001,North East,region,2022-04-19,7605
E12000001,North East,region,2022-04-18,7912
E12000001,North East,region,2022-04-17,8426
E12000001,North East,region,2022-04-16,8769
E12000001,North East,region,2022-04-15,9009
E12000001,North East,region,2022-04-14,9439
E12000001,North East,region,2022-04-13,9999
E12000001,North East,region,2022-04-12,10593
E12000001,North East,region,2022-04-11,11355
E12000001,North East,region,2022-04-10,11985
E12000001,North East,region,2022-04-09,12596
E12000001,North East,region,2022-04-08,12964
E12000001,North East,region,2022-04-07,13624
E12000001,North East,region,2022-04-06,14228
E12000001,North East,region,2022-04-05,15411
E12000001,North East,region,2022-04-04,16538
E12000001,North East,region,2022-04-03,18231
E12000001,North East,region,2022-04-02,19061
E12000001,North East,region,2022-04-01,19874
E12000001,North East,region,2022-03-31,20469
E12000001,North East,region,2022-03-30,21174
E12000001,North East,region,2022-03-29,21444
E12000001,North East,region,2022-03-28,21775
E12000001,North East,region,2022-03-27,21580
E12000001,North East,region,2022-03-26,21568
E12000001,North East,region,2022-03-25,21248
E12000001,North East,region,2022-03-24,20830
E12000001,North East,region,2022-03-23,20228
E12000001,North East,region,2022-03-22,19508
E12000001,North East,region,2022-03-21,18468
E12000001,North East,region,2022-03-20,17505
E12000001,North East,region,2022-03-19,16751
E12000001,North East,region,2022-03-18,16284
E12000001,North East,region,2022-03-17,15690
E12000001,North East,region,2022-03-16,14949
E12000001,North East,region,2022-03-15,13912
E12000001,North East,region,2022-03-14,12980
E12000001,North East,region,2022-03-13,11767
E12000001,North East,region,2022-03-12,10899
E12000001,North East,region,2022-03-11,10074
E12000001,North East,region,2022-03-10,9380
E12000001,North East,region,2022-03-09,8781
E12000001,North East,region,2022-03-08,8220
E12000001,North East,region,2022-03-07,7609
E12000001,North East,region,2022-03-06,7143
E12000001,North East,region,2022-03-05,6828
E12000001,North East,region,2022-03-04,6716
E12000001,North East,region,2022-03-03,6483
E12000001,North East,region,2022-03-02,6185
E12000001,North East,region,2022-03-01,6017
E12000001,North East,region,2022-02-28,5864
E12000001,North East,region,2022-02-27,5788
E12000001,North East,region,2022-02-26,5824
E12000001,North East,region,2022-02-25,5953
E12000001,North East,region,2022-02-24,6259
E12000001,North East,region,2022-02-23,6740
E12000001,North East,region,2022-02-22,7286
E12000001,North East,region,2022-02-21,7836
E12000001,North East,region,2022-02-20,8451
E12000001,North East,region,2022-02-19,8889
E12000001,North East,region,2022-02-18,9213
E12000001,North East,region,2022-02-17,9598
E12000001,North East,region,2022-02-16,9876
E12000001,North East,region,2022-02-15,10294
E12000001,North East,region,2022-02-14,10967
E12000001,North East,region,2022-02-13,11652
E12000001,North East,region,2022-02-12,12248
E12000001,North East,region,2022-02-11,12780
E12000001,North East,region,2022-02-10,13515
E12000001,North East,region,2022-02-09,14550
E12000001,North East,region,2022-02-08,15600
E12000001,North East,region,2022-02-07,16844
E12000001,North East,region,2022-02-06,18236
E12000001,North East,region,2022-02-05,19503
E12000001,North East,region,2022-02-04,20179
E12000001,North East,region,2022-02-03,21027
E12000001,North East,region,2022-02-02,22160
E12000001,North East,region,2022-02-01,23574
E12000001,North East,region,2022-01-31,24980
E12000001,North East,region,2022-01-30,26600
E12000001,North East,region,2022-01-29,27953
E12000001,North East,region,2022-01-28,29213
E12000001,North East,region,2022-01-27,30606
E12000001,North East,region,2022-01-26,31896
E12000001,North East,region,2022-01-25,33342
E12000001,North East,region,2022-01-24,34863
E12000001,North East,region,2022-01-23,36787
E12000001,North East,region,2022-01-22,37846
E12000001,North East,region,2022-01-21,38789
E12000001,North East,region,2022-01-20,39668
E12000001,North East,region,2022-01-19,40494
E12000001,North East,region,2022-01-18,41220
E12000001,North East,region,2022-01-17,42392
E12000001,North East,region,2022-01-16,43557
E12000001,North East,region,2022-01-15,44146
E12000001,North East,region,2022-01-14,45618
E12000001,North East,region,2022-01-13,48940
E12000001,North East,region,2022-01-12,54699
E12000001,North East,region,2022-01-11,62937
E12000001,North East,region,2022-01-10,72577
E12000001,North East,region,2022-01-09,77709
E12000001,North East,region,2022-01-08,81087
E12000001,North East,region,2022-01-07,81351
